real             imag             q4r              q4i              q6r              q6i             
-0.9998305817958 +0.0184067299058 -1.0000000000000 +0.0000000000000 -1.0000000000000 +0.0312500000000
-0.9995294175011 +0.0306748031766 -1.0000000000000 +0.0000000000000 -1.0000000000000 +0.0312500000000
-0.9990777277526 +0.0429382569349 -1.0000000000000 +0.0000000000000 -1.0000000000000 +0.0312500000000
-0.9984755805733 +0.0551952443497 -1.0000000000000 +0.0000000000000 -1.0000000000000 +0.0625000000000
-0.9977230666442 +0.0674439195637 -1.0000000000000 +0.1250000000000 -1.0000000000000 +0.0625000000000
-0.9968202992912 +0.0796824379714 -1.0000000000000 +0.1250000000000 -1.0000000000000 +0.0937500000000
-0.9957674144677 +0.0919089564971 -1.0000000000000 +0.1250000000000 -1.0000000000000 +0.0937500000000
-0.9945645707343 +0.1041216338721 -1.0000000000000 +0.1250000000000 -1.0000000000000 +0.0937500000000
-0.9932119492348 +0.1163186309119 -1.0000000000000 +0.1250000000000 -1.0000000000000 +0.1250000000000
-0.9917097536691 +0.1284981107938 -1.0000000000000 +0.1250000000000 -1.0000000000000 +0.1250000000000
-0.9900582102623 +0.1406582393328 -1.0000000000000 +0.1250000000000 -1.0000000000000 +0.1562500000000
-0.9882575677307 +0.1527971852584 -1.0000000000000 +0.1250000000000 -1.0000000000000 +0.1562500000000
-0.9863080972446 +0.1649131204900 -1.0000000000000 +0.1250000000000 -1.0000000000000 +0.1562500000000
-0.9842100923869 +0.1770042204121 -1.0000000000000 +0.1250000000000 -0.9687500000000 +0.1875000000000
-0.9819638691096 +0.1890686641498 -1.0000000000000 +0.2500000000000 -0.9687500000000 +0.1875000000000
-0.9795697656854 +0.2011046348421 -1.0000000000000 +0.2500000000000 -0.9687500000000 +0.1875000000000
-0.9770281426578 +0.2131103199161 -1.0000000000000 +0.2500000000000 -0.9687500000000 +0.2187500000000
-0.9743393827856 +0.2250839113598 -1.0000000000000 +0.2500000000000 -0.9687500000000 +0.2187500000000
-0.9715038909863 +0.2370236059944 -1.0000000000000 +0.2500000000000 -0.9687500000000 +0.2500000000000
-0.9685220942744 +0.2489276057457 -1.0000000000000 +0.2500000000000 -0.9687500000000 +0.2500000000000
-0.9653944416977 +0.2607941179153 -1.0000000000000 +0.2500000000000 -0.9687500000000 +0.2500000000000
-0.9621214042690 +0.2726213554499 -1.0000000000000 +0.2500000000000 -0.9687500000000 +0.2812500000000
-0.9587034748959 +0.2844075372113 -1.0000000000000 +0.2500000000000 -0.9687500000000 +0.2812500000000
-0.9551411683058 +0.2961508882436 -1.0000000000000 +0.2500000000000 -0.9687500000000 +0.2812500000000
-0.9514350209690 +0.3078496400415 -1.0000000000000 +0.2500000000000 -0.9375000000000 +0.3125000000000
-0.9475855910177 +0.3195020308160 -1.0000000000000 +0.3750000000000 -0.9375000000000 +0.3125000000000
-0.9435934581620 +0.3311063057599 -1.0000000000000 +0.3750000000000 -0.9375000000000 +0.3437500000000
-0.9394592236022 +0.3426607173120 -1.0000000000000 +0.3750000000000 -0.9375000000000 +0.3437500000000
-0.9351835099389 +0.3541635254205 -0.8750000000000 +0.3750000000000 -0.9375000000000 +0.3437500000000
-0.9307669610790 +0.3656129978048 -0.8750000000000 +0.3750000000000 -0.9375000000000 +0.3750000000000
-0.9262102421383 +0.3770074102164 -0.8750000000000 +0.3750000000000 -0.9375000000000 +0.3750000000000
-0.9215140393420 +0.3883450466988 -0.8750000000000 +0.3750000000000 -0.9062500000000 +0.3750000000000
-0.9166790599210 +0.3996241998456 -0.8750000000000 +0.3750000000000 -0.9062500000000 +0.4062500000000
-0.9117060320054 +0.4108431710579 -0.8750000000000 +0.3750000000000 -0.9062500000000 +0.4062500000000
-0.9065957045149 +0.4220002707998 -0.8750000000000 +0.3750000000000 -0.9062500000000 +0.4375000000000
-0.9013488470460 +0.4330938188532 -0.8750000000000 +0.3750000000000 -0.9062500000000 +0.4375000000000
-0.8959662497562 +0.4441221445704 -0.8750000000000 +0.5000000000000 -0.9062500000000 +0.4375000000000
-0.8904487232448 +0.4550835871263 -0.8750000000000 +0.5000000000000 -0.8750000000000 +0.4687500000000
-0.8847970984309 +0.4659764957680 -0.8750000000000 +0.5000000000000 -0.8750000000000 +0.4687500000000
-0.8790122264286 +0.4767992300633 -0.8750000000000 +0.5000000000000 -0.8750000000000 +0.4687500000000
-0.8730949784183 +0.4875501601484 -0.8750000000000 +0.5000000000000 -0.8750000000000 +0.5000000000000
-0.8670462455157 +0.4982276669728 -0.8750000000000 +0.5000000000000 -0.8750000000000 +0.5000000000000
-0.8608669386378 +0.5088301425431 -0.8750000000000 +0.5000000000000 -0.8750000000000 +0.5000000000000
-0.8545579883654 +0.5193559901656 -0.8750000000000 +0.5000000000000 -0.8437500000000 +0.5312500000000
-0.8481203448033 +0.5298036246863 -0.8750000000000 +0.5000000000000 -0.8437500000000 +0.5312500000000
-0.8415549774369 +0.5401714727299 -0.8750000000000 +0.5000000000000 -0.8437500000000 +0.5312500000000
-0.8348628749864 +0.5504579729366 -0.8750000000000 +0.5000000000000 -0.8437500000000 +0.5625000000000
-0.8280450452578 +0.5606615761973 -0.8750000000000 +0.5000000000000 -0.8125000000000 +0.5625000000000
-0.8211025149911 +0.5707807458870 -0.8750000000000 +0.6250000000000 -0.8125000000000 +0.5625000000000
-0.8140363297059 +0.5808139580958 -0.8750000000000 +0.6250000000000 -0.8125000000000 +0.5937500000000
-0.8068475535438 +0.5907597018589 -0.7500000000000 +0.6250000000000 -0.8125000000000 +0.5937500000000
-0.7995372691079 +0.6006164793839 -0.7500000000000 +0.6250000000000 -0.8125000000000 +0.5937500000000
-0.7921065773002 +0.6103828062763 -0.7500000000000 +0.6250000000000 -0.7812500000000 +0.6250000000000
-0.7845565971556 +0.6200572117633 -0.7500000000000 +0.6250000000000 -0.7812500000000 +0.6250000000000
-0.7768884656732 +0.6296382389149 -0.7500000000000 +0.6250000000000 -0.7812500000000 +0.6250000000000
-0.7691033376456 +0.6391244448638 -0.7500000000000 +0.6250000000000 -0.7812500000000 +0.6250000000000
-0.7612023854843 +0.6485144010221 -0.7500000000000 +0.6250000000000 -0.7500000000000 +0.6562500000000
-0.7531867990436 +0.6578066932971 -0.7500000000000 +0.6250000000000 -0.7500000000000 +0.6562500000000
-0.7450577854415 +0.6669999223036 -0.7500000000000 +0.6250000000000 -0.7500000000000 +0.6562500000000
-0.7368165688774 +0.6760927035753 -0.7500000000000 +0.6250000000000 -0.7500000000000 +0.6875000000000
-0.7284643904482 +0.6850836677727 -0.7500000000000 +0.6250000000000 -0.7187500000000 +0.6875000000000
-0.7200025079614 +0.6939714608897 -0.7500000000000 +0.7500000000000 -0.7187500000000 +0.6875000000000
-0.7114321957452 +0.7027547444572 -0.7500000000000 +0.7500000000000 -0.7187500000000 +0.6875000000000
-0.7027547444572 +0.7114321957452 -0.7500000000000 +0.7500000000000 -0.6875000000000 +0.7187500000000
-0.6939714608897 +0.7200025079614 -0.7500000000000 +0.7500000000000 -0.6875000000000 +0.7187500000000
-0.6850836677727 +0.7284643904482 -0.6250000000000 +0.7500000000000 -0.6875000000000 +0.7187500000000
-0.6760927035753 +0.7368165688774 -0.6250000000000 +0.7500000000000 -0.6875000000000 +0.7500000000000
-0.6669999223036 +0.7450577854415 -0.6250000000000 +0.7500000000000 -0.6562500000000 +0.7500000000000
-0.6578066932971 +0.7531867990436 -0.6250000000000 +0.7500000000000 -0.6562500000000 +0.7500000000000
-0.6485144010221 +0.7612023854843 -0.6250000000000 +0.7500000000000 -0.6562500000000 +0.7500000000000
-0.6391244448638 +0.7691033376456 -0.6250000000000 +0.7500000000000 -0.6250000000000 +0.7812500000000
-0.6296382389149 +0.7768884656732 -0.6250000000000 +0.7500000000000 -0.6250000000000 +0.7812500000000
-0.6200572117633 +0.7845565971556 -0.6250000000000 +0.7500000000000 -0.6250000000000 +0.7812500000000
-0.6103828062763 +0.7921065773002 -0.6250000000000 +0.7500000000000 -0.6250000000000 +0.7812500000000
-0.6006164793839 +0.7995372691079 -0.6250000000000 +0.7500000000000 -0.5937500000000 +0.8125000000000
-0.5907597018589 +0.8068475535438 -0.6250000000000 +0.7500000000000 -0.5937500000000 +0.8125000000000
-0.5808139580958 +0.8140363297059 -0.6250000000000 +0.8750000000000 -0.5937500000000 +0.8125000000000
-0.5707807458870 +0.8211025149911 -0.6250000000000 +0.8750000000000 -0.5625000000000 +0.8125000000000
-0.5606615761973 +0.8280450452578 -0.5000000000000 +0.8750000000000 -0.5625000000000 +0.8125000000000
-0.5504579729366 +0.8348628749864 -0.5000000000000 +0.8750000000000 -0.5625000000000 +0.8437500000000
-0.5401714727299 +0.8415549774369 -0.5000000000000 +0.8750000000000 -0.5312500000000 +0.8437500000000
-0.5298036246863 +0.8481203448033 -0.5000000000000 +0.8750000000000 -0.5312500000000 +0.8437500000000
-0.5193559901656 +0.8545579883654 -0.5000000000000 +0.8750000000000 -0.5312500000000 +0.8437500000000
-0.5088301425431 +0.8608669386378 -0.5000000000000 +0.8750000000000 -0.5000000000000 +0.8750000000000
-0.4982276669728 +0.8670462455157 -0.5000000000000 +0.8750000000000 -0.5000000000000 +0.8750000000000
-0.4875501601484 +0.8730949784183 -0.5000000000000 +0.8750000000000 -0.5000000000000 +0.8750000000000
-0.4767992300633 +0.8790122264286 -0.5000000000000 +0.8750000000000 -0.4687500000000 +0.8750000000000
-0.4659764957680 +0.8847970984309 -0.5000000000000 +0.8750000000000 -0.4687500000000 +0.8750000000000
-0.4550835871263 +0.8904487232448 -0.5000000000000 +0.8750000000000 -0.4687500000000 +0.8750000000000
-0.4441221445704 +0.8959662497562 -0.5000000000000 +0.8750000000000 -0.4375000000000 +0.9062500000000
-0.4330938188532 +0.9013488470460 -0.3750000000000 +0.8750000000000 -0.4375000000000 +0.9062500000000
-0.4220002707998 +0.9065957045149 -0.3750000000000 +0.8750000000000 -0.4375000000000 +0.9062500000000
-0.4108431710579 +0.9117060320054 -0.3750000000000 +0.8750000000000 -0.4062500000000 +0.9062500000000
-0.3996241998456 +0.9166790599210 -0.3750000000000 +0.8750000000000 -0.4062500000000 +0.9062500000000
-0.3883450466988 +0.9215140393420 -0.3750000000000 +0.8750000000000 -0.3750000000000 +0.9062500000000
-0.3770074102164 +0.9262102421383 -0.3750000000000 +0.8750000000000 -0.3750000000000 +0.9375000000000
-0.3656129978048 +0.9307669610790 -0.3750000000000 +0.8750000000000 -0.3750000000000 +0.9375000000000
-0.3541635254205 +0.9351835099389 -0.3750000000000 +0.8750000000000 -0.3437500000000 +0.9375000000000
-0.3426607173120 +0.9394592236022 -0.3750000000000 +1.0000000000000 -0.3437500000000 +0.9375000000000
-0.3311063057599 +0.9435934581620 -0.3750000000000 +1.0000000000000 -0.3437500000000 +0.9375000000000
-0.3195020308160 +0.9475855910177 -0.3750000000000 +1.0000000000000 -0.3125000000000 +0.9375000000000
-0.3078496400415 +0.9514350209690 -0.2500000000000 +1.0000000000000 -0.3125000000000 +0.9375000000000
-0.2961508882436 +0.9551411683058 -0.2500000000000 +1.0000000000000 -0.2812500000000 +0.9687500000000
-0.2844075372113 +0.9587034748959 -0.2500000000000 +1.0000000000000 -0.2812500000000 +0.9687500000000
-0.2726213554499 +0.9621214042690 -0.2500000000000 +1.0000000000000 -0.2812500000000 +0.9687500000000
-0.2607941179153 +0.9653944416977 -0.2500000000000 +1.0000000000000 -0.2500000000000 +0.9687500000000
-0.2489276057457 +0.9685220942744 -0.2500000000000 +1.0000000000000 -0.2500000000000 +0.9687500000000
-0.2370236059944 +0.9715038909863 -0.2500000000000 +1.0000000000000 -0.2500000000000 +0.9687500000000
-0.2250839113598 +0.9743393827856 -0.2500000000000 +1.0000000000000 -0.2187500000000 +0.9687500000000
-0.2131103199161 +0.9770281426578 -0.2500000000000 +1.0000000000000 -0.2187500000000 +0.9687500000000
-0.2011046348421 +0.9795697656854 -0.2500000000000 +1.0000000000000 -0.1875000000000 +0.9687500000000
-0.1890686641498 +0.9819638691096 -0.2500000000000 +1.0000000000000 -0.1875000000000 +0.9687500000000
-0.1770042204121 +0.9842100923869 -0.1250000000000 +1.0000000000000 -0.1875000000000 +0.9687500000000
-0.1649131204900 +0.9863080972446 -0.1250000000000 +1.0000000000000 -0.1562500000000 +1.0000000000000
-0.1527971852584 +0.9882575677307 -0.1250000000000 +1.0000000000000 -0.1562500000000 +1.0000000000000
-0.1406582393328 +0.9900582102623 -0.1250000000000 +1.0000000000000 -0.1562500000000 +1.0000000000000
-0.1284981107938 +0.9917097536691 -0.1250000000000 +1.0000000000000 -0.1250000000000 +1.0000000000000
-0.1163186309119 +0.9932119492348 -0.1250000000000 +1.0000000000000 -0.1250000000000 +1.0000000000000
-0.1041216338721 +0.9945645707343 -0.1250000000000 +1.0000000000000 -0.0937500000000 +1.0000000000000
-0.0919089564971 +0.9957674144677 -0.1250000000000 +1.0000000000000 -0.0937500000000 +1.0000000000000
-0.0796824379714 +0.9968202992912 -0.1250000000000 +1.0000000000000 -0.0937500000000 +1.0000000000000
-0.0674439195637 +0.9977230666442 -0.1250000000000 +1.0000000000000 -0.0625000000000 +1.0000000000000
-0.0551952443497 +0.9984755805733 +0.0000000000000 +1.0000000000000 -0.0625000000000 +1.0000000000000
-0.0429382569349 +0.9990777277526 +0.0000000000000 +1.0000000000000 -0.0312500000000 +1.0000000000000
-0.0306748031766 +0.9995294175011 +0.0000000000000 +1.0000000000000 -0.0312500000000 +1.0000000000000
-0.0184067299058 +0.9998305817958 +0.0000000000000 +1.0000000000000 -0.0312500000000 +1.0000000000000
-0.0061358846492 +0.9999811752826 +0.0000000000000 +1.0000000000000 +0.0000000000000 +1.0000000000000
+0.0061358846492 +0.9999811752826 +0.0000000000000 +1.0000000000000 +0.0000000000000 +1.0000000000000
+0.0184067299058 +0.9998305817958 +0.0000000000000 +1.0000000000000 +0.0312500000000 +1.0000000000000
+0.0306748031766 +0.9995294175011 +0.0000000000000 +1.0000000000000 +0.0312500000000 +1.0000000000000
+0.0429382569349 +0.9990777277526 +0.0000000000000 +1.0000000000000 +0.0312500000000 +1.0000000000000
+0.0551952443497 +0.9984755805733 +0.0000000000000 +1.0000000000000 +0.0625000000000 +1.0000000000000
+0.0674439195637 +0.9977230666442 +0.1250000000000 +1.0000000000000 +0.0625000000000 +1.0000000000000
+0.0796824379714 +0.9968202992912 +0.1250000000000 +1.0000000000000 +0.0937500000000 +1.0000000000000
+0.0919089564971 +0.9957674144677 +0.1250000000000 +1.0000000000000 +0.0937500000000 +1.0000000000000
+0.1041216338721 +0.9945645707343 +0.1250000000000 +1.0000000000000 +0.0937500000000 +1.0000000000000
+0.1163186309119 +0.9932119492348 +0.1250000000000 +1.0000000000000 +0.1250000000000 +1.0000000000000
+0.1284981107938 +0.9917097536691 +0.1250000000000 +1.0000000000000 +0.1250000000000 +1.0000000000000
+0.1406582393328 +0.9900582102623 +0.1250000000000 +1.0000000000000 +0.1562500000000 +1.0000000000000
+0.1527971852584 +0.9882575677307 +0.1250000000000 +1.0000000000000 +0.1562500000000 +1.0000000000000
+0.1649131204900 +0.9863080972446 +0.1250000000000 +1.0000000000000 +0.1562500000000 +1.0000000000000
+0.1770042204121 +0.9842100923869 +0.1250000000000 +1.0000000000000 +0.1875000000000 +0.9687500000000
+0.1890686641498 +0.9819638691096 +0.2500000000000 +1.0000000000000 +0.1875000000000 +0.9687500000000
+0.2011046348421 +0.9795697656854 +0.2500000000000 +1.0000000000000 +0.1875000000000 +0.9687500000000
+0.2131103199161 +0.9770281426578 +0.2500000000000 +1.0000000000000 +0.2187500000000 +0.9687500000000
+0.2250839113598 +0.9743393827856 +0.2500000000000 +1.0000000000000 +0.2187500000000 +0.9687500000000
+0.2370236059944 +0.9715038909863 +0.2500000000000 +1.0000000000000 +0.2500000000000 +0.9687500000000
+0.2489276057457 +0.9685220942744 +0.2500000000000 +1.0000000000000 +0.2500000000000 +0.9687500000000
+0.2607941179153 +0.9653944416977 +0.2500000000000 +1.0000000000000 +0.2500000000000 +0.9687500000000
+0.2726213554499 +0.9621214042690 +0.2500000000000 +1.0000000000000 +0.2812500000000 +0.9687500000000
+0.2844075372113 +0.9587034748959 +0.2500000000000 +1.0000000000000 +0.2812500000000 +0.9687500000000
+0.2961508882436 +0.9551411683058 +0.2500000000000 +1.0000000000000 +0.2812500000000 +0.9687500000000
+0.3078496400415 +0.9514350209690 +0.2500000000000 +1.0000000000000 +0.3125000000000 +0.9375000000000
+0.3195020308160 +0.9475855910177 +0.3750000000000 +1.0000000000000 +0.3125000000000 +0.9375000000000
+0.3311063057599 +0.9435934581620 +0.3750000000000 +1.0000000000000 +0.3437500000000 +0.9375000000000
+0.3426607173120 +0.9394592236022 +0.3750000000000 +1.0000000000000 +0.3437500000000 +0.9375000000000
+0.3541635254205 +0.9351835099389 +0.3750000000000 +0.8750000000000 +0.3437500000000 +0.9375000000000
+0.3656129978048 +0.9307669610790 +0.3750000000000 +0.8750000000000 +0.3750000000000 +0.9375000000000
+0.3770074102164 +0.9262102421383 +0.3750000000000 +0.8750000000000 +0.3750000000000 +0.9375000000000
+0.3883450466988 +0.9215140393420 +0.3750000000000 +0.8750000000000 +0.3750000000000 +0.9062500000000
+0.3996241998456 +0.9166790599210 +0.3750000000000 +0.8750000000000 +0.4062500000000 +0.9062500000000
+0.4108431710579 +0.9117060320054 +0.3750000000000 +0.8750000000000 +0.4062500000000 +0.9062500000000
+0.4220002707998 +0.9065957045149 +0.3750000000000 +0.8750000000000 +0.4375000000000 +0.9062500000000
+0.4330938188532 +0.9013488470460 +0.3750000000000 +0.8750000000000 +0.4375000000000 +0.9062500000000
+0.4441221445704 +0.8959662497562 +0.5000000000000 +0.8750000000000 +0.4375000000000 +0.9062500000000
+0.4550835871263 +0.8904487232448 +0.5000000000000 +0.8750000000000 +0.4687500000000 +0.8750000000000
+0.4659764957680 +0.8847970984309 +0.5000000000000 +0.8750000000000 +0.4687500000000 +0.8750000000000
+0.4767992300633 +0.8790122264286 +0.5000000000000 +0.8750000000000 +0.4687500000000 +0.8750000000000
+0.4875501601484 +0.8730949784183 +0.5000000000000 +0.8750000000000 +0.5000000000000 +0.8750000000000
+0.4982276669728 +0.8670462455157 +0.5000000000000 +0.8750000000000 +0.5000000000000 +0.8750000000000
+0.5088301425431 +0.8608669386378 +0.5000000000000 +0.8750000000000 +0.5000000000000 +0.8750000000000
+0.5193559901656 +0.8545579883654 +0.5000000000000 +0.8750000000000 +0.5312500000000 +0.8437500000000
+0.5298036246863 +0.8481203448033 +0.5000000000000 +0.8750000000000 +0.5312500000000 +0.8437500000000
+0.5401714727299 +0.8415549774369 +0.5000000000000 +0.8750000000000 +0.5312500000000 +0.8437500000000
+0.5504579729366 +0.8348628749864 +0.5000000000000 +0.8750000000000 +0.5625000000000 +0.8437500000000
+0.5606615761973 +0.8280450452578 +0.5000000000000 +0.8750000000000 +0.5625000000000 +0.8125000000000
+0.5707807458870 +0.8211025149911 +0.6250000000000 +0.8750000000000 +0.5625000000000 +0.8125000000000
+0.5808139580958 +0.8140363297059 +0.6250000000000 +0.8750000000000 +0.5937500000000 +0.8125000000000
+0.5907597018589 +0.8068475535438 +0.6250000000000 +0.7500000000000 +0.5937500000000 +0.8125000000000
+0.6006164793839 +0.7995372691079 +0.6250000000000 +0.7500000000000 +0.5937500000000 +0.8125000000000
+0.6103828062763 +0.7921065773002 +0.6250000000000 +0.7500000000000 +0.6250000000000 +0.7812500000000
+0.6200572117633 +0.7845565971556 +0.6250000000000 +0.7500000000000 +0.6250000000000 +0.7812500000000
+0.6296382389149 +0.7768884656732 +0.6250000000000 +0.7500000000000 +0.6250000000000 +0.7812500000000
+0.6391244448638 +0.7691033376456 +0.6250000000000 +0.7500000000000 +0.6250000000000 +0.7812500000000
+0.6485144010221 +0.7612023854843 +0.6250000000000 +0.7500000000000 +0.6562500000000 +0.7500000000000
+0.6578066932971 +0.7531867990436 +0.6250000000000 +0.7500000000000 +0.6562500000000 +0.7500000000000
+0.6669999223036 +0.7450577854415 +0.6250000000000 +0.7500000000000 +0.6562500000000 +0.7500000000000
+0.6760927035753 +0.7368165688774 +0.6250000000000 +0.7500000000000 +0.6875000000000 +0.7500000000000
+0.6850836677727 +0.7284643904482 +0.6250000000000 +0.7500000000000 +0.6875000000000 +0.7187500000000
+0.6939714608897 +0.7200025079614 +0.7500000000000 +0.7500000000000 +0.6875000000000 +0.7187500000000
+0.7027547444572 +0.7114321957452 +0.7500000000000 +0.7500000000000 +0.6875000000000 +0.7187500000000
+0.7114321957452 +0.7027547444572 +0.7500000000000 +0.7500000000000 +0.7187500000000 +0.6875000000000
+0.7200025079614 +0.6939714608897 +0.7500000000000 +0.7500000000000 +0.7187500000000 +0.6875000000000
+0.7284643904482 +0.6850836677727 +0.7500000000000 +0.6250000000000 +0.7187500000000 +0.6875000000000
+0.7368165688774 +0.6760927035753 +0.7500000000000 +0.6250000000000 +0.7500000000000 +0.6875000000000
+0.7450577854415 +0.6669999223036 +0.7500000000000 +0.6250000000000 +0.7500000000000 +0.6562500000000
+0.7531867990436 +0.6578066932971 +0.7500000000000 +0.6250000000000 +0.7500000000000 +0.6562500000000
+0.7612023854843 +0.6485144010221 +0.7500000000000 +0.6250000000000 +0.7500000000000 +0.6562500000000
+0.7691033376456 +0.6391244448638 +0.7500000000000 +0.6250000000000 +0.7812500000000 +0.6250000000000
+0.7768884656732 +0.6296382389149 +0.7500000000000 +0.6250000000000 +0.7812500000000 +0.6250000000000
+0.7845565971556 +0.6200572117633 +0.7500000000000 +0.6250000000000 +0.7812500000000 +0.6250000000000
+0.7921065773002 +0.6103828062763 +0.7500000000000 +0.6250000000000 +0.7812500000000 +0.6250000000000
+0.7995372691079 +0.6006164793839 +0.7500000000000 +0.6250000000000 +0.8125000000000 +0.5937500000000
+0.8068475535438 +0.5907597018589 +0.7500000000000 +0.6250000000000 +0.8125000000000 +0.5937500000000
+0.8140363297059 +0.5808139580958 +0.8750000000000 +0.6250000000000 +0.8125000000000 +0.5937500000000
+0.8211025149911 +0.5707807458870 +0.8750000000000 +0.6250000000000 +0.8125000000000 +0.5625000000000
+0.8280450452578 +0.5606615761973 +0.8750000000000 +0.5000000000000 +0.8125000000000 +0.5625000000000
+0.8348628749864 +0.5504579729366 +0.8750000000000 +0.5000000000000 +0.8437500000000 +0.5625000000000
+0.8415549774369 +0.5401714727299 +0.8750000000000 +0.5000000000000 +0.8437500000000 +0.5312500000000
+0.8481203448033 +0.5298036246863 +0.8750000000000 +0.5000000000000 +0.8437500000000 +0.5312500000000
+0.8545579883654 +0.5193559901656 +0.8750000000000 +0.5000000000000 +0.8437500000000 +0.5312500000000
+0.8608669386378 +0.5088301425431 +0.8750000000000 +0.5000000000000 +0.8750000000000 +0.5000000000000
+0.8670462455157 +0.4982276669728 +0.8750000000000 +0.5000000000000 +0.8750000000000 +0.5000000000000
+0.8730949784183 +0.4875501601484 +0.8750000000000 +0.5000000000000 +0.8750000000000 +0.5000000000000
+0.8790122264286 +0.4767992300633 +0.8750000000000 +0.5000000000000 +0.8750000000000 +0.4687500000000
+0.8847970984309 +0.4659764957680 +0.8750000000000 +0.5000000000000 +0.8750000000000 +0.4687500000000
+0.8904487232448 +0.4550835871263 +0.8750000000000 +0.5000000000000 +0.8750000000000 +0.4687500000000
+0.8959662497562 +0.4441221445704 +0.8750000000000 +0.5000000000000 +0.9062500000000 +0.4375000000000
+0.9013488470460 +0.4330938188532 +0.8750000000000 +0.3750000000000 +0.9062500000000 +0.4375000000000
+0.9065957045149 +0.4220002707998 +0.8750000000000 +0.3750000000000 +0.9062500000000 +0.4375000000000
+0.9117060320054 +0.4108431710579 +0.8750000000000 +0.3750000000000 +0.9062500000000 +0.4062500000000
+0.9166790599210 +0.3996241998456 +0.8750000000000 +0.3750000000000 +0.9062500000000 +0.4062500000000
+0.9215140393420 +0.3883450466988 +0.8750000000000 +0.3750000000000 +0.9062500000000 +0.3750000000000
+0.9262102421383 +0.3770074102164 +0.8750000000000 +0.3750000000000 +0.9375000000000 +0.3750000000000
+0.9307669610790 +0.3656129978048 +0.8750000000000 +0.3750000000000 +0.9375000000000 +0.3750000000000
+0.9351835099389 +0.3541635254205 +0.8750000000000 +0.3750000000000 +0.9375000000000 +0.3437500000000
+0.9394592236022 +0.3426607173120 +1.0000000000000 +0.3750000000000 +0.9375000000000 +0.3437500000000
+0.9435934581620 +0.3311063057599 +1.0000000000000 +0.3750000000000 +0.9375000000000 +0.3437500000000
+0.9475855910177 +0.3195020308160 +1.0000000000000 +0.3750000000000 +0.9375000000000 +0.3125000000000
+0.9514350209690 +0.3078496400415 +1.0000000000000 +0.2500000000000 +0.9375000000000 +0.3125000000000
+0.9551411683058 +0.2961508882436 +1.0000000000000 +0.2500000000000 +0.9687500000000 +0.2812500000000
+0.9587034748959 +0.2844075372113 +1.0000000000000 +0.2500000000000 +0.9687500000000 +0.2812500000000
+0.9621214042690 +0.2726213554499 +1.0000000000000 +0.2500000000000 +0.9687500000000 +0.2812500000000
+0.9653944416977 +0.2607941179153 +1.0000000000000 +0.2500000000000 +0.9687500000000 +0.2500000000000
+0.9685220942744 +0.2489276057457 +1.0000000000000 +0.2500000000000 +0.9687500000000 +0.2500000000000
+0.9715038909863 +0.2370236059944 +1.0000000000000 +0.2500000000000 +0.9687500000000 +0.2500000000000
+0.9743393827856 +0.2250839113598 +1.0000000000000 +0.2500000000000 +0.9687500000000 +0.2187500000000
+0.9770281426578 +0.2131103199161 +1.0000000000000 +0.2500000000000 +0.9687500000000 +0.2187500000000
+0.9795697656854 +0.2011046348421 +1.0000000000000 +0.2500000000000 +0.9687500000000 +0.1875000000000
+0.9819638691096 +0.1890686641498 +1.0000000000000 +0.2500000000000 +0.9687500000000 +0.1875000000000
+0.9842100923869 +0.1770042204121 +1.0000000000000 +0.1250000000000 +0.9687500000000 +0.1875000000000
+0.9863080972446 +0.1649131204900 +1.0000000000000 +0.1250000000000 +1.0000000000000 +0.1562500000000
+0.9882575677307 +0.1527971852584 +1.0000000000000 +0.1250000000000 +1.0000000000000 +0.1562500000000
+0.9900582102623 +0.1406582393328 +1.0000000000000 +0.1250000000000 +1.0000000000000 +0.1562500000000
+0.9917097536691 +0.1284981107938 +1.0000000000000 +0.1250000000000 +1.0000000000000 +0.1250000000000
+0.9932119492348 +0.1163186309119 +1.0000000000000 +0.1250000000000 +1.0000000000000 +0.1250000000000
+0.9945645707343 +0.1041216338721 +1.0000000000000 +0.1250000000000 +1.0000000000000 +0.0937500000000
+0.9957674144677 +0.0919089564971 +1.0000000000000 +0.1250000000000 +1.0000000000000 +0.0937500000000
+0.9968202992912 +0.0796824379714 +1.0000000000000 +0.1250000000000 +1.0000000000000 +0.0937500000000
+0.9977230666442 +0.0674439195637 +1.0000000000000 +0.1250000000000 +1.0000000000000 +0.0625000000000
+0.9984755805733 +0.0551952443497 +1.0000000000000 +0.0000000000000 +1.0000000000000 +0.0625000000000
+0.9990777277526 +0.0429382569349 +1.0000000000000 +0.0000000000000 +1.0000000000000 +0.0312500000000
+0.9995294175011 +0.0306748031766 +1.0000000000000 +0.0000000000000 +1.0000000000000 +0.0312500000000
+0.9998305817958 +0.0184067299058 +1.0000000000000 +0.0000000000000 +1.0000000000000 +0.0312500000000

